timestamp,BTC,ETH
2021-02-18 17:40:11.531429,51767.3,1914.58
2021-02-18 17:40:13.170442,51760.25,1914.5
2021-02-18 17:40:14.774811,51762.0,1914.77
2021-02-18 17:40:16.344367,51766.07,1914.77
2021-02-18 17:40:17.982621,51768.75,1914.91
2021-02-18 17:40:19.621482,51768.75,1914.87
2021-02-18 17:40:21.223986,51758.24,1914.77
2021-02-18 17:40:22.898927,51752.1,1914.63
2021-02-18 17:40:24.536141,51755.23,1914.62
2021-02-18 17:40:26.379682,51752.07,1914.51
2021-02-18 17:40:27.982112,51752.57,1914.5
2021-02-18 17:40:29.656561,51751.01,1914.5
2021-02-18 17:40:31.294999,51751.01,1914.5
2021-02-18 17:40:32.933125,51751.0,1914.5
2021-02-18 17:42:10.214731,51794.88,1915.79
2021-02-18 17:42:11.854774,51792.03,1915.74
2021-02-18 17:42:13.456558,51794.88,1915.83
2021-02-18 17:42:15.129907,51792.47,1915.74
2021-02-18 17:42:16.768274,51792.41,1915.71
2021-02-18 17:42:18.371347,51792.48,1915.9
2021-02-18 17:42:20.045224,51792.47,1915.58
2021-02-18 17:42:21.684491,51791.49,1915.59
2021-02-18 17:42:23.321501,51786.74,1915.61
2021-02-18 17:42:24.960845,51786.74,1915.62
2021-02-18 17:42:26.599289,51785.59,1915.61
2021-02-18 17:42:28.237418,51784.69,1915.62
2021-02-18 17:42:29.876431,51788.06,1915.61
2021-02-18 17:42:31.474647,51789.85,1915.61
2021-02-18 17:42:33.152451,51789.86,1915.61
2021-02-18 17:42:34.791174,51792.4,1915.62
2021-02-18 17:42:36.391539,51792.47,1915.61
2021-02-18 17:42:38.068238,51763.6,1915.44
2021-02-18 17:42:40.116515,51776.05,1915.9
2021-02-18 17:42:41.755601,51781.8,1916.26
2021-02-18 17:42:43.905994,51792.41,1916.31
2021-02-18 17:42:45.447924,51789.99,1916.32
2021-02-18 17:42:47.078098,51793.68,1916.72
2021-02-18 17:42:49.639471,51793.18,1916.77
2021-02-18 17:42:51.380153,51800.08,1916.79
2021-02-18 17:42:53.120879,51802.18,1916.74
2021-02-18 17:42:54.759684,51802.19,1916.79
2021-02-18 17:42:56.398172,51810.2,1916.79
2021-02-18 17:42:58.036272,51821.95,1916.99
2021-02-18 17:42:59.674868,51816.24,1917.01
2021-02-18 17:43:01.313193,51821.79,1917.18
2021-02-18 17:45:05.731244,51841.42,1915.96
2021-02-18 17:45:07.369525,51837.58,1915.94
2021-02-18 17:45:09.008267,51841.28,1915.95
2021-02-18 17:45:10.646213,51841.28,1915.95
2021-02-18 17:45:12.284790,51839.43,1916.16
2021-02-18 17:45:13.923814,51836.83,1916.16
2021-02-18 17:45:15.561634,51844.22,1916.3
2021-02-18 17:45:17.200366,51840.14,1916.12
